Fire_ID,Fire_Name,sample_number,Acres,sdc,ln_sdc,mean_para,weighted_core_area,weighted_patch_area,ag_index,patch_area,total_class_area,core_area_index,clumpiness,patch_cohesion_index,core_area,number_of_patches,patch_density,pladj,pland,total_core_area,Year,StartMonth,StartDay,Fire_type,bailey_ecoregion,ecoregion_group,eco_code,sm_rdnbr
WA4778712075719940726,ROUND MTN,sample1,3403,0.01204,-4.41914,0.101896784,18.68,80.71,72.71,1.53,307.89,3.78,0.72,91.08,0.6,201,1.44,71.47,2.2,121.14,1994,7,26,Wildfire,Cascade Mixed Forest,CMF,1,0.503
WA4790111996820010728,UNION VALLEY,sample1,4355,0.02677,-3.62035,0.103406602,0,11.89,60.52,0.63,69.66,2.76,0.6,76.83,0.14,111,0.75,58.33,0.47,15.39,2001,7,28,Wildfire,Cascade Mixed Forest,CMF,1,0.4955
WA4826011967319871003,MONSE,sample1,7922,0.03447,-3.36756,0.108542021,0,6.55,49.44,0.42,111.6,1.16,0.49,70.12,0.05,266,1.39,48.02,0.58,12.42,1987,10,3,Wildfire,Cascade Mixed Forest,CMF,1,0.3815
WA4835612062720140714,LONE MOUNTAIN 1,sample1,2578,0.01449,-4.23443,0.091798663,1.89,39.12,75.72,2.67,271.89,8.76,0.75,90.47,1.07,102,0.78,74.35,2.09,109.44,2014,7,14,Wildfire,Cascade Mixed Forest,CMF,1,0.4759
WA4848612046919850721,HUBBARD CR,sample1,6798,0.00814,-4.81139,0.096841403,53.4,214.17,83.23,3.25,478.26,7.19,0.83,94.71,1.89,147,0.89,82.09,2.88,277.65,1985,7,21,Wildfire,Cascade Mixed Forest,CMF,1,0.3896
WA4889812049420020817,QUARTZ MT. COMPLEX (MIDDLE MOUNTAIN),sample1,8173,0.00559,-5.18701,0.097310068,275.57,501.09,86.05,4.81,1314.27,7.07,0.85,96.64,3.11,273,1.09,85.34,5.25,850.32,2002,8,17,Wildfire,Cascade Mixed Forest,CMF,1,0.4867
WA4896911967320070707,LITTLE CHOPAKA,sample1,4406,0.03665,-3.30645,0.112431383,0,6.77,48.67,0.46,83.88,1.08,0.48,79.87,0.05,181,1.39,47.05,0.64,8.82,2007,7,7,Wildfire,Cascade Mixed Forest,CMF,1,0.5335
OR4249112162719870831,COWBOY,sample2,4536,0.00662,-5.0179,0.098429575,146.71,276.58,83.58,3.87,526.05,6.72,0.83,95.36,2.28,136,0.97,82.49,3.76,310.68,1987,8,31,Wildfire,Cascade Mixed Forest,CMF,1,0.5114
OR4252012150720140713,MOCCASIN HILL,sample2,2536,0.02227,-3.80461,0.099359875,0,14.62,65.74,0.91,57.06,4.77,0.66,81.36,0.23,63,0.55,63.09,0.5,14.49,2014,7,13,Wildfire,Cascade Mixed Forest,CMF,1,0.5999
OR4293512081219870613,WINTER RIM,sample2,1703,0.02315,-3.76591,0.093676906,0,29.59,71.37,1.75,68.22,5.7,0.71,89.03,0.48,39,0.4,68.73,0.7,18.81,1987,6,13,Wildfire,Cascade Mixed Forest,CMF,1,0.591
OR4309112272520170810,TL  UPPER ASH FLAT 327,sample2,1949.84,0.0321,-3.43879,0.100600381,0,5.51,59.59,0.55,25.92,4.47,0.59,71.66,0.1,47,0.5,56.08,0.27,4.5,2017,8,10,Wildfire,Cascade Mixed Forest,CMF,1,0.3331
OR4318212230620170809,DL DOG PRAIRIE,sample2,1021.23,0.02467,-3.70203,0.101701691,0,9.79,69.42,0.77,19.89,4.44,0.69,76.82,0.21,26,0.3,64.71,0.23,5.58,2017,8,9,Wildfire,Cascade Mixed Forest,CMF,1,0.2967
OR4320912249720170811,DL BROKENTOOTH,sample2,5382.4,0.0214,-3.84448,0.094003682,1.11,16.06,67.79,0.94,127.08,5.3,0.68,82.46,0.28,135,0.79,65.97,0.74,37.53,2017,8,11,Wildfire,Cascade Mixed Forest,CMF,1,0.3449
OR4334712281020090728,WILLIAMS CREEK,sample2,8405,0.0113,-4.48323,0.088617353,21.19,96.45,79.24,2.28,516.78,9.84,0.79,91.55,1.13,227,1.25,78.2,2.85,256.5,2009,7,28,Wildfire,Cascade Mixed Forest,CMF,1,0.3714
OR4392312127420030723,18 FIRE,sample2,3971,0.01312,-4.33329,0.103748163,0,94.52,69.56,1.45,298.53,2.53,0.69,93.21,0.48,206,1.54,68.34,2.23,99.18,2003,7,23,Wildfire,Cascade Mixed Forest,CMF,1,0.5173
OR4470812185620170724,WHITEWATER,sample2,11758.38,0.00488,-5.32275,0.093221694,657.76,1830.41,87.96,5.6,1444.59,6.45,0.87,98.27,3.84,258,1.1,87.26,6.17,990,2017,7,24,Wildfire,Cascade Mixed Forest,CMF,1,0.4987
OR4472912127119960709,KUCKUP,sample2,1389,0.02241,-3.79845,0.109438227,0,20.58,61.1,0.71,34.65,1.97,0.61,84.72,0.13,49,0.56,57.92,0.39,6.57,1996,7,9,Wildfire,Cascade Mixed Forest,CMF,1,0.5551
OR4477312122420080710,MILL,sample2,3445,0.08093,-2.51416,0.104357032,0,2.13,50.94,0.38,8.01,1.48,0.51,61.63,0.02,21,0.16,45.51,0.06,0.36,2008,7,10,Wildfire,Cascade Mixed Forest,CMF,1,0.5277
WA4583312110119920804,SNOOKUM,sample2,2380,0.02296,-3.77412,0.099389338,0,8.29,64.63,0.74,43.2,4.54,0.65,81.38,0.19,58,0.48,61.67,0.36,11.07,1992,8,4,Wildfire,Cascade Mixed Forest,CMF,1,0.3383
WA4710812133319880726,FALLS CREEK,sample2,2152,0.00905,-4.7051,0.094480634,34.6,167.82,82.28,4.28,368.19,7.77,0.82,94.61,2.36,86,0.42,80.99,1.81,202.68,1988,7,26,Wildfire,Cascade Mixed Forest,CMF,1,0.6294
WA4750112329120060725,BEAR GULCH II,sample2,1036,0.03141,-3.46052,0.098725088,0,6.51,58.7,0.65,37.26,2.71,0.58,74.78,0.11,57,0.76,55.8,0.5,6.12,2006,7,25,Wildfire,Cascade Mixed Forest,CMF,1,0.2685
WA4770812082320140715,CHIWAUKUM COMPLEX,sample2,14512,0.0043,-5.4498,0.096506091,1082.07,3997.1,88.19,7.89,2675.52,5.57,0.87,99.07,5.44,339,1.25,87.68,9.85,1842.66,2014,7,15,Wildfire,Cascade Mixed Forest,CMF,1,0.5439
WA4781812002519910901,CHELANBTTE,sample2,2394,0.02485,-3.69491,0.117795157,0,34.07,61.88,0.65,58.77,1.58,0.62,87.71,0.17,91,0.94,59.42,0.61,15.39,1991,9,1,Wildfire,Cascade Mixed Forest,CMF,1,0.5642
WA4786111989119880923,BEEBE,sample2,2352,0.06815,-2.68605,0.116666667,0,1.3,42,0.2,2.79,1.19,0.42,43.11,0.01,14,0.13,33.87,0.03,0.18,1988,9,23,Wildfire,Cascade Mixed Forest,CMF,1,0.3227
WA4788112022120150814,FIRST CREEK,sample2,7971,0.00769,-4.86779,0.096298561,121.45,349.14,83.63,4.44,568.89,6.32,0.83,96.53,2.58,128,0.56,82.57,2.51,329.85,2015,8,14,Wildfire,Cascade Mixed Forest,CMF,1,0.4199
WA4798512034519980804,NORTH 25,sample2,8690,0.00425,-5.46117,0.099927458,537.75,2518.34,88.78,8.28,1291.59,4.02,0.88,98.99,5.74,156,0.75,88.04,6.19,895.41,1998,8,4,Wildfire,Cascade Mixed Forest,CMF,1,0.5777
WA4802412060120140716,DUNCAN,sample2,13714,0.00658,-5.02406,0.096611814,1212.38,4051.51,88.22,7.52,2715.48,4.81,0.87,99.08,5.2,361,1.1,87.71,8.29,1875.87,2014,7,16,Wildfire,Cascade Mixed Forest,CMF,1,0.5656
WA4811212089420160723,BUCK CREEK,sample2,4200,0.00778,-4.85632,0.099467781,48.1,251.33,81.82,2.83,410.31,5.14,0.81,95.37,1.58,145,0.95,80.6,2.69,229.5,2016,7,23,Wildfire,Cascade Mixed Forest,CMF,1,0.4488
WA4814412059320070805,DOMKE LAKE COMPLEX,sample2,10090,0.00669,-5.00778,0.11107051,69.83,289.99,76.32,1.51,882.99,2.1,0.75,94.54,0.75,584,2.39,75.55,3.61,440.01,2007,8,5,Wildfire,Cascade Mixed Forest,CMF,1,0.5004
WA4816512002120120909,OKANOGAN COMPLEX,sample2,1378,0.04329,-3.13977,0.097997313,0,3.29,56.66,0.55,21.33,3.92,0.57,68.29,0.07,39,0.37,52.95,0.2,2.79,2012,9,9,Wildfire,Cascade Mixed Forest,CMF,1,0.3857
WA4828511975719990925,MALOTT,sample2,2816,0.01199,-4.42354,0.112955199,0.67,259.25,70.18,1.6,249.39,2.2,0.7,95.65,0.57,156,1.33,68.84,2.12,89.28,1999,9,25,Wildfire,Cascade Mixed Forest,CMF,1,0.5879
WA4865811989020030907,ISABEL,sample2,5753,0.02303,-3.77077,0.105766801,0,19.08,61.34,0.86,129.6,2.83,0.61,84.73,0.19,150,0.85,59.72,0.74,28.17,2003,9,7,Wildfire,Cascade Mixed Forest,CMF,1,0.3134
OR4229712173120050728,SIMPSON,sample3,2275,0.0031,-5.77757,0.105356855,329.81,1200.89,91.44,10.04,551.97,3.94,0.91,98.47,7.59,55,0.51,90.27,5.13,417.51,2005,7,28,Wildfire,Cascade Mixed Forest,CMF,1,0.6785
OR4242912115619870809,HOLEINGRND,sample3,2697,0.0278,-3.58275,0.087496229,0,4.95,66.67,0.82,9,5.01,0.67,75.52,0.16,11,0.08,60,0.06,1.71,1987,8,9,Wildfire,Cascade Mixed Forest,CMF,1,0.237
OR4298012228220170729,SPRUCE LAKE,sample3,16072.09,0.00669,-5.0071,0.095314583,206.55,686.68,83.59,3.91,1898.28,5.74,0.83,96.95,2.33,485,1.52,83.01,5.94,1131.12,2017,7,29,Wildfire,Cascade Mixed Forest,CMF,1,0.5236
OR4299212116120020713,GRIZZLY COMPLEX (SILVER),sample3,24339,0.01343,-4.31029,0.098089267,39.57,135.25,71.46,1.45,1319.13,4.86,0.71,92.3,0.55,908,1.81,70.87,2.64,502.65,2002,7,13,Wildfire,Cascade Mixed Forest,CMF,1,0.4884
OR4299412270220020715,TILLER COMPLEX (TALLOW),sample3,1076,,#NUM!,0.108377425,0,0.89,38.82,0.28,4.5,0.31,0.39,59.85,0.01,16,0.22,33,0.06,0.09,2002,7,15,Wildfire,Cascade Mixed Forest,CMF,1,0.2935
OR4315612245520090922,RAINBOW CREEK,sample3,5150,0.00645,-5.04434,0.091110476,137.22,530.6,82.83,4.19,599.4,6.95,0.82,97.76,2.36,143,0.92,81.81,3.85,337.23,2009,9,22,Wildfire,Cascade Mixed Forest,CMF,1,0.5027
OR4340212236220170810,STALEY,sample3,2318.6,0.01536,-4.17586,0.094832742,0.22,41.24,73.76,1.47,165.96,5.76,0.73,88.67,0.56,113,1.02,72.04,1.5,63.72,2017,8,10,Wildfire,Cascade Mixed Forest,CMF,1,0.4367
OR4360412179420030628,DAVIS,sample3,20683,0.00285,-5.86172,0.104864683,3194.31,7236.53,90.1,8.53,4885.11,3.18,0.89,99.3,6.35,573,1.54,89.72,13.12,3639.06,2003,6,28,Wildfire,Cascade Mixed Forest,CMF,1,0.6612
OR4400912217020170804,REBEL,sample3,9047.08,0.01548,-4.1679,0.087743531,0.95,33.43,74.96,2.04,285.21,8.44,0.75,89.73,0.82,140,0.65,73.62,1.32,114.57,2017,8,4,Wildfire,Cascade Mixed Forest,CMF,1,0.2916
OR4474912191520170811,SRZ LITTLE DEVIL,sample3,2304.25,0.02344,-3.75317,0.089612659,0,13.02,68.47,1.32,105.3,6.43,0.68,85.27,0.37,80,0.6,66.45,0.79,29.25,2017,8,11,Wildfire,Cascade Mixed Forest,CMF,1,0.4124
OR4538512163020080807,GNARL RIDGE,sample3,3502,0.0044,-5.42584,0.089459343,288.09,752.3,88.44,11.03,606.42,10.42,0.88,97.71,7.44,55,0.4,87.36,4.36,408.96,2008,8,7,Wildfire,Cascade Mixed Forest,CMF,1,0.5591
WA4628812122719940724,YEDLICK,sample3,4322,0.01735,-4.05397,0.09629221,0.89,26.2,70.79,1.37,221.13,5.58,0.7,87.04,0.49,161,1,69.35,1.37,78.84,1994,7,24,Wildfire,Cascade Mixed Forest,CMF,1,0.3783
WA4649412121520090729,DISCOVERY,sample3,4240,0.0175,-4.04533,0.097676741,0,47.84,69.5,1.33,226.17,4.79,0.69,89.5,0.43,170,1.27,68.11,1.68,73.89,2009,7,29,Wildfire,Cascade Mixed Forest,CMF,1,0.3903
WA4658412110220010813,DOME PEAK,sample3,2756,0.00798,-4.8312,0.105804827,14.26,225.39,82.22,3.32,222.12,3.75,0.82,96.08,1.78,67,0.48,80.55,1.6,119.52,2001,8,13,Wildfire,Cascade Mixed Forest,CMF,1,0.4322
WA4668812104420120908,WILD ROSE,sample3,2134,0.04275,-3.15241,0.105552119,0,4.87,54.29,0.48,20.79,2.52,0.54,71.6,0.06,43,0.44,50.65,0.21,2.52,2012,9,8,Wildfire,Cascade Mixed Forest,CMF,1,0.3152
WA4754112335819850824,BEAVER,sample3,1107,0.01564,-4.15815,0.094949171,0.22,28.17,74.7,1.72,105.03,6.04,0.74,88.71,0.67,61,0.75,72.49,1.3,40.86,1985,8,24,Wildfire,Cascade Mixed Forest,CMF,1,0.4566
WA4770812082320140715,CHIWAUKUM COMPLEX,sample3,14512,0.0043,-5.4498,0.096506091,1082.07,3997.1,88.19,7.89,2675.52,5.57,0.87,99.07,5.44,339,1.25,87.68,9.85,1842.66,2014,7,15,Wildfire,Cascade Mixed Forest,CMF,1,0.5439
WA4829512061020060726,FLICK CREEK,sample3,7056,0.00954,-4.65264,0.088704703,61.83,422.11,76.9,1.88,592.56,3.66,0.76,95.61,0.88,316,1.78,75.95,3.34,279.18,2006,7,26,Wildfire,Cascade Mixed Forest,CMF,1,0.5789
WA4788612026820120908,FIRST CREEK,sample3,1434,0.01546,-4.16954,0.088704703,0,37.31,75.37,1.89,69.75,7.68,0.75,88.53,0.72,37,0.42,72.65,0.79,26.64,2012,9,8,Wildfire,Cascade Mixed Forest,CMF,1,0.4389
WA4789411989420140707,ROCK HILL FIRE,sample3,2088,,,0.116339869,0,0.56,25.53,0.22,2.61,0,0.26,48.84,0,12,0.11,20.69,0.02,0,2014,7,7,Wildfire,Cascade Mixed Forest,CMF,1,0.6859
WA4790111996820010728,UNION VALLEY,sample3,4355,0.02677,-3.62035,0.103406602,0,11.89,60.52,0.63,69.66,2.76,0.6,76.83,0.14,111,0.75,58.33,0.47,15.39,2001,7,28,Wildfire,Cascade Mixed Forest,CMF,1,0.4955
WA4796812059020120908,KLONE PEAK,sample3,1634,0.0188,-3.97379,0.099541422,0,25.47,69.07,1.06,78.3,4.5,0.69,86.14,0.33,74,0.81,66.72,0.86,24.66,2012,9,8,Wildfire,Cascade Mixed Forest,CMF,1,0.3384
WA4803812108719900714,WHITE RIVER,sample3,1319,0.02054,-3.88556,0.098418656,0,20.38,69.39,1.51,128.52,5.98,0.69,87.06,0.46,85,0.92,67.54,1.39,38.97,1990,7,14,Wildfire,Cascade Mixed Forest,CMF,1,0.488
WA4841512096920010813,REX CREEK COMPLEX (GLORY MOUNTAIN),sample3,1331,0.01208,-4.41654,0.099999173,4.67,60.13,74.01,1.76,125.1,5.73,0.74,90.67,0.7,71,0.59,72.01,1.04,49.68,2001,8,13,Wildfire,Cascade Mixed Forest,CMF,1,0.4523
WA4882011967319850828,GOLD HILL,sample3,1524,0.05855,-2.83795,0.116675774,0,1.32,34.25,0.26,12.51,0.1,0.34,55.62,0,49,0.55,31.29,0.14,0.09,1985,8,28,Wildfire,Cascade Mixed Forest,CMF,1,0.3022
OR4487312131019960810,SIMNASHO,mega,118465,0.01018,-4.58748,0.105165909,49.76,247.92,76.5,1.8,1655.73,3.33,0.76,95.82,0.85,922,0.72,75.94,1.29,781.56,1996,8,10,Wildfire,Cascade Mixed Forest,CMF,1,0.6012
WA4781512037419940724,TYEE CREEK,mega,123618,0.00786,-4.84653,0.100325059,715.17,1056.47,77.48,2.18,8514.54,4.18,0.76,95.71,1.09,3904,2.93,77.23,6.38,4242.33,1994,7,24,Wildfire,Cascade Mixed Forest,CMF,1,0.4884
WA4821112010220140714,CARLTON COMPLEX,mega,276091,0.00533,-5.23358,0.097553304,2289.92,4904.3,82.79,3.16,13287.87,4.77,0.82,98.39,1.88,4201,1.18,82.58,3.72,7905.42,2014,7,14,Wildfire,Cascade Mixed Forest,CMF,1,0.6054
WA4857111968120150814,LIMEBELT,mega,137098,0.00611,-5.09766,0.100857367,1139.66,1171.23,79.79,2.32,7486.02,3.83,0.79,96.83,1.26,3230,1.87,79.52,4.32,4062.42,2015,8,14,Wildfire,Cascade Mixed Forest,CMF,1,0.5262
WA4884111998320060703,TRIPOD COMPLEX (SPUR PEAK),mega,115123,0.00389,-5.54915,0.101773765,787.95,2145.36,86.46,6.21,19595.52,4.85,0.85,98.61,4.12,3158,1.95,86.28,12.08,13002.66,2006,7,3,Wildfire,Cascade Mixed Forest,CMF,1,0.5732
WA4885512041420170723,DIAMOND CREEK,mega,117527.4,0.00348,-5.6605,0.099741646,2016.11,2957.33,86.9,7.09,16841.34,6.32,0.86,98.38,4.82,2374,1.17,86.7,8.27,11441.43,2017,7,23,Wildfire,Cascade Mixed Forest,CMF,1,0.6073
OR4257912152119920802,LONE PINE,sample_bigger,28061,0.00911,-4.69837,0.106014031,39.46,299.94,73.26,1.72,2374.47,2.28,0.72,95.24,0.73,1379,2.38,72.81,4.09,1009.44,1992,8,2,Wildfire,Cascade Mixed Forest,CMF,1,0.5648
OR4279812231820170725,BLANKET CREEK,sample_bigger,32767.82,0.0053,-5.23932,0.094967753,379.75,900.3,82.33,3.26,3012.48,5.75,0.81,97.22,1.87,923,1.59,81.88,5.18,1724.94,2017,7,25,Wildfire,Cascade Mixed Forest,CMF,1,0.4842
OR4283012081520020712,GRIZZLY COMPLEX (WINTER),sample_bigger,33987,0.00436,-5.436,0.102383861,1693.37,6854.4,87.43,7.28,5294.16,4.08,0.87,99.26,4.92,727,0.78,87.07,5.69,3575.43,2002,7,12,Wildfire,Cascade Mixed Forest,CMF,1,0.5083
OR4301812088720020712,TOOL BOX COMPLEX (TOOL BOX),sample_bigger,56342,0.00795,-4.83429,0.102804607,165.82,892.35,77.09,2.44,5992.92,3.25,0.75,97.37,1.16,2455,3.32,76.79,8.1,2845.17,2002,7,12,Wildfire,Cascade Mixed Forest,CMF,1,0.522
OR4311312273420020713,BOULDER,sample_bigger,48505,0.0142,-4.25481,0.096104503,30.22,65.17,72.42,1.48,2444.04,5.84,0.71,89.23,0.58,1656,3.1,71.98,4.58,967.59,2002,7,13,Wildfire,Cascade Mixed Forest,CMF,1,0.3902
OR4330612262220170812,HAPPY DOG,sample_bigger,34241.75,0.01499,-4.20041,0.091778686,58.31,51.37,71.59,1.29,783.09,5.81,0.71,87.57,0.49,608,1.18,70.83,1.52,297.36,2017,8,12,Wildfire,Cascade Mixed Forest,CMF,1,0.3259
OR4410112190920170810,MR SEPARATION,sample_bigger,25137.59,0.00443,-5.41998,0.097025546,722.44,2750.74,86.8,7.38,4191.84,5.49,0.85,98.68,4.85,568,1.39,86.4,10.28,2755.44,2017,8,10,Wildfire,Cascade Mixed Forest,CMF,1,0.5876
OR4417812169920120909,POLE CREEK,sample_bigger,26982,0.00586,-5.13903,0.095665585,212.35,838.04,84.27,4.64,3261.06,6.12,0.83,97.71,2.81,703,1.63,83.83,7.58,1978.29,2012,9,9,Wildfire,Cascade Mixed Forest,CMF,1,0.5584
OR4451112177120030819,B&B COMPLEX (BOOTH),sample_bigger,91281,0.01259,-4.37495,0.108298509,19.32,173.32,68.56,1.15,1861.56,2.33,0.68,93.54,0.41,1615,1.4,68.09,1.62,656.82,2003,8,19,Wildfire,Cascade Mixed Forest,CMF,1,0.5161
OR4476712123320110824,HIGHCASCADES,sample_bigger,44498,0.01022,-4.58327,0.094991147,38.12,114.12,77.5,2.11,1307.25,6.42,0.77,92.07,1.02,619,0.39,76.85,0.82,633.42,2011,8,24,Wildfire,Cascade Mixed Forest,CMF,1,0.5452
OR4481412123520130720,SUNNYSIDE TURNOFF,sample_bigger,50028,0.01696,-4.07691,0.095077394,0.92,79.92,73.75,1.82,340.2,5.03,0.74,91.71,0.68,187,0.28,72.55,0.51,127.89,2013,7,20,Wildfire,Cascade Mixed Forest,CMF,1,0.5027
OR4483012121619940725,LECLAIRE,sample_bigger,32087,0.0379,-3.27289,0.11258205,0,4.92,45.22,0.4,305.37,1.18,0.45,71.48,0.04,760,1.78,44.44,0.71,30.6,1994,7,25,Wildfire,Cascade Mixed Forest,CMF,1,0.4363
OR4499312125220140713,SHANIKO BUTTE,sample_bigger,39852,0.01203,-4.41998,0.094803443,11.2,80.73,77.82,2.12,651.33,7.17,0.78,91.17,1.02,307,0.48,76.9,1.01,314.19,2014,7,13,Wildfire,Cascade Mixed Forest,CMF,1,0.5281
OR4509112124520170809,NENA SPRINGS,sample_bigger,70074.28,0.02919,-3.53379,0.104730447,0,8.72,57.82,0.57,420.12,2.73,0.58,75.95,0.12,741,0.79,56.97,0.45,85.5,2017,8,9,Wildfire,Cascade Mixed Forest,CMF,1,0.6778
OR4563012190420170902,EAGLE CREEK,sample_bigger,48816.74,0.00442,-5.4224,0.095007346,987.64,2765.28,87.03,7.23,6467.4,6.54,0.86,98.57,4.81,895,0.95,86.7,6.87,4306.68,2017,9,2,Wildfire,Cascade Mixed Forest,CMF,1,0.5069
WA4613412137420150811,COUGAR CREEK,sample_bigger,51867,0.00413,-5.48982,0.097040438,602.28,2370.58,86.53,6.43,7383.24,5.56,0.85,98.59,4.2,1149,1.5,86.23,9.67,4831.29,2015,8,11,Wildfire,Cascade Mixed Forest,CMF,1,0.5636
WA4695112137420170812,NORSE PEAK,sample_bigger,51017.43,0.00346,-5.66657,0.098769708,3591.74,8880.12,90.1,9.64,8698.77,6.64,0.89,99.32,7.16,902,1.31,89.81,12.61,6459.03,2017,8,12,Wildfire,Cascade Mixed Forest,CMF,1,0.5516
WA4724812058320120908,TABLE MOUNTAIN COMPLEX,sample_bigger,65888,0.00668,-5.00912,0.095913998,1087.41,3323,83.27,3.78,5591.97,5.51,0.82,98.51,2.24,1481,1.8,82.93,6.79,3317.58,2012,9,8,Wildfire,Cascade Mixed Forest,CMF,1,0.4051
WA4737712101920170812,JOLLY MOUNTAIN,sample_bigger,38159.35,0.00976,-4.62977,0.096237337,33.05,197.39,78.06,2.26,2889.81,5.26,0.77,94.36,1.11,1277,2.43,77.63,5.49,1418.31,2017,8,12,Wildfire,Cascade Mixed Forest,CMF,1,0.4529
WA4753512070419940729,HATCHERY COMPLEX (RAT),sample_bigger,27265,0.00612,-5.09676,0.101613015,319.19,965.46,80.93,2.94,3233.25,3.99,0.8,97.29,1.63,1100,1.98,80.5,5.82,1797.75,1994,7,29,Wildfire,Cascade Mixed Forest,CMF,1,0.5042
